Title,Year,Issue,ArticleURL,Abstract,Author_Name,Author_University
A Knowledge Management Perspective of Generative Artificial Intelligence,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/15,No Abstract,Maryam Alavi,Georgia Institute of Technology
A Knowledge Management Perspective of Generative Artificial Intelligence,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/15,No Abstract,Dorothy E. Leidner,University of Virginia
A Knowledge Management Perspective of Generative Artificial Intelligence,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/15,No Abstract,Reza Mousavi,University of Virginia
The Societal Impacts of Generative Artificial Intelligence: A Balanced Perspective,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/14,No Abstract,Rajiv Sabherwal,University of Arkansas
The Societal Impacts of Generative Artificial Intelligence: A Balanced Perspective,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/14,No Abstract,Varun Grover,University of Arkansas
Navigating Generative Artificial Intelligence Promises and Perils for Knowledge and Creative Work,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/13,No Abstract,Hind Benbya,Deakin University
Navigating Generative Artificial Intelligence Promises and Perils for Knowledge and Creative Work,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/13,No Abstract,Franz Strich,Deakin University
Navigating Generative Artificial Intelligence Promises and Perils for Knowledge and Creative Work,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/13,No Abstract,Toomas Tamm,Deakin University
"AI for Knowledge Creation, Curation, and Consumption in Context",2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/12,No Abstract,David Schwartz,"Bar-Ilan University, Israel"
"AI for Knowledge Creation, Curation, and Consumption in Context",2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/12,No Abstract,Dov Te'eni,Tel Aviv University
Responsible Artificial Intelligence and Journal Publishing,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/11,No Abstract,Shirley Gregor,Australian National University
Reimagining the Journal Editorial Process: An AI-Augmented Versus an AI-Driven Future,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/10,No Abstract,Galit Shmueli,National Tsing Hua University
Reimagining the Journal Editorial Process: An AI-Augmented Versus an AI-Driven Future,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/10,No Abstract,Soumya Ray,National Tsing Hua University
Peer Review in the Age of Generative AI,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/9,No Abstract,Atreyi Kankanhalli,National University of Singapore
The Other Reviewer: RoboReviewer,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/8,No Abstract,Ron Weber,Monash University / The University of Queensland
"Human-in-the-Loop AI Reviewing: Feasibility, Opportunities, and Risks",2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/7,No Abstract,Iddo Drori,Boston University / Columbia University
"Human-in-the-Loop AI Reviewing: Feasibility, Opportunities, and Risks",2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/7,No Abstract,Dov Te'eni,Tel Aviv University
New Frontiers in Information Systems Theorizing: Human-gAI Collaboration,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/6,No Abstract,Sirkka Jarvenpaa,University of Texas at Austin
New Frontiers in Information Systems Theorizing: Human-gAI Collaboration,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/6,No Abstract,Stefan Klein,University of Muenster
Should We Collaborate with AI to Conduct Literature Reviews? Changing Epistemic Values in a Flattening World,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/5,No Abstract,Ojelanki Ngwenyama,Toronto Metropolitan University / University of Cape Town
Should We Collaborate with AI to Conduct Literature Reviews? Changing Epistemic Values in a Flattening World,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/5,No Abstract,Frantz Rowe,University of Nantes
Evolving Epistemic Infrastructure: The Role of Scientific Journals in the Age of Generative AI,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/4,No Abstract,Youngjin Yoo,Case Western Reserve University
Extending the Foresight of Phillip Ein-Dor: Causal Knowledge Analytics,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/3,No Abstract,Richard T. Watson,Digital Frontier Partners / University of Georgia
Extending the Foresight of Phillip Ein-Dor: Causal Knowledge Analytics,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/3,No Abstract,Yuanyuan (April) Song,University of Georgia
Extending the Foresight of Phillip Ein-Dor: Causal Knowledge Analytics,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/3,No Abstract,Xia Zhao,University of Georgia
Extending the Foresight of Phillip Ein-Dor: Causal Knowledge Analytics,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/3,No Abstract,Jane Webster,Queen's University
Democratizing Knowledge Creation Through Human-AI Collaboration in Academic Peer Review,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/2,No Abstract,Suprateek Sarker,University of Virginia
Democratizing Knowledge Creation Through Human-AI Collaboration in Academic Peer Review,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/2,No Abstract,Anjana Susarla,Michigan State University
Democratizing Knowledge Creation Through Human-AI Collaboration in Academic Peer Review,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/2,No Abstract,Ram Gopal,University of Warwick
Democratizing Knowledge Creation Through Human-AI Collaboration in Academic Peer Review,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/2,No Abstract,Jason Bennett Thatcher,University of Colorado / University of Manchester
Digital Transformation of Academic Publishing: A Call for the Decentralization and Democratization of Academic Journals,2024,Issue 1,https://aisel.aisnet.org/jais/vol25/iss1/1,No Abstract,Michel Avital,Copenhagen Business School
From Methodological Symmetry to Gaia: Latour’s Legacy and Untapped Potential for IS Research,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/10,No Abstract,Margunn Aanestad,University of Oslo
From Methodological Symmetry to Gaia: Latour’s Legacy and Untapped Potential for IS Research,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/10,No Abstract,Ole Hanseth,University of Oslo
From Methodological Symmetry to Gaia: Latour’s Legacy and Untapped Potential for IS Research,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/10,No Abstract,Eric Monteiro,Norwegian University of Science and Technology
From Methodological Symmetry to Gaia: Latour’s Legacy and Untapped Potential for IS Research,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/10,No Abstract,Marko Niemimaa,University of Agder
From Methodological Symmetry to Gaia: Latour’s Legacy and Untapped Potential for IS Research,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/10,No Abstract,David Ribes,University of Washington
How Online Consumers Use Multiple Advice Sources: An Empirical Exploration Using Verbal Protocol Analysis,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/9,No Abstract,Hongki Kim,Clemson University
How Online Consumers Use Multiple Advice Sources: An Empirical Exploration Using Verbal Protocol Analysis,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/9,No Abstract,Izak Benbasat,University of British Columbia
Optimal Launch Timing of Bug Bounty Programs for Software Products under Different Licensing Models,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/8,No Abstract,Nan Feng,Tianjin University
Optimal Launch Timing of Bug Bounty Programs for Software Products under Different Licensing Models,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/8,No Abstract,Tianlu Zhou,Tianjin University
Optimal Launch Timing of Bug Bounty Programs for Software Products under Different Licensing Models,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/8,No Abstract,Haiyang Feng,Tianjin University
Optimal Launch Timing of Bug Bounty Programs for Software Products under Different Licensing Models,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/8,No Abstract,Minqiang Li,Tianjin University
Nonverbal Peer Feedback and User Contribution in Online Forums: Experimental Evidence of the Role of Attribution and Emotions,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/7,No Abstract,Ramesh Shankar,University of Connecticut
Nonverbal Peer Feedback and User Contribution in Online Forums: Experimental Evidence of the Role of Attribution and Emotions,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/7,No Abstract,Lei Wang,Penn State University
Nonverbal Peer Feedback and User Contribution in Online Forums: Experimental Evidence of the Role of Attribution and Emotions,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/7,No Abstract,Kunter Gunasti,Washington State University
Nonverbal Peer Feedback and User Contribution in Online Forums: Experimental Evidence of the Role of Attribution and Emotions,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/7,No Abstract,Hongfei Li,The Chinese University of Hong Kong
Qualitative Cusp Catastrophe Multi-Agent Simulation Model to Explore Abrupt Changes in Online Impulsive Buying Behavior,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/6,No Abstract,Xiaochao Wei,Wuhan University of Technology
Qualitative Cusp Catastrophe Multi-Agent Simulation Model to Explore Abrupt Changes in Online Impulsive Buying Behavior,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/6,No Abstract,Yanfei Zhang,Wuhan University of Technology
Qualitative Cusp Catastrophe Multi-Agent Simulation Model to Explore Abrupt Changes in Online Impulsive Buying Behavior,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/6,No Abstract,Xin (Robert) Luo,University of New Mexico
Qualitative Cusp Catastrophe Multi-Agent Simulation Model to Explore Abrupt Changes in Online Impulsive Buying Behavior,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/6,No Abstract,Gangmei Pan,Wuhan University of Technology
Qualitative Cusp Catastrophe Multi-Agent Simulation Model to Explore Abrupt Changes in Online Impulsive Buying Behavior,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/6,No Abstract,Guihua Nie,Wuhan University of Technology
Content and Style of Firm-Generated Posts on Social Media: A Study of User Engagement on Hedonic and Utilitarian Product Pages on Facebook,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/5,No Abstract,Scott Schanke,University of Wisconsin-Milwaukee
Content and Style of Firm-Generated Posts on Social Media: A Study of User Engagement on Hedonic and Utilitarian Product Pages on Facebook,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/5,No Abstract,Gautam Ray,University of Minnesota
Content and Style of Firm-Generated Posts on Social Media: A Study of User Engagement on Hedonic and Utilitarian Product Pages on Facebook,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/5,No Abstract,Gediminas Adomavicius,University of Minnesota
Content and Style of Firm-Generated Posts on Social Media: A Study of User Engagement on Hedonic and Utilitarian Product Pages on Facebook,2024,Issue 2,https://aisel.aisnet.org/jais/vol25/iss2/5,No Abstract,Mihir Wagle,University of Minnesota
