Title,URL,Volume Issue,Vol Issue Year
Lost at the cyber-crossing? Understanding individuals’ internet security threat ambivalence and its impact on threat avoidance and approach behavior,https://www.sciencedirect.com/science/article/pii/S0378720626000285,"Volume 63, Issue 4",June 2026
Modeling patient switching behavior in online health communities: service quality and satisfaction dynamics with a hidden Markov model,https://www.sciencedirect.com/science/article/pii/S0378720626000273,"Volume 63, Issue 4",June 2026
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0378720626000327,"Volume 63, Issue 3",April 2026
"Agentic artificial intelligence as a new frontier in information systems: Promise, peril, and research opportunities",https://www.sciencedirect.com/science/article/pii/S0378720626000170,"Volume 63, Issue 3",April 2026
To facilitate consumer reviews or not? The role of capacity constraint,https://www.sciencedirect.com/science/article/pii/S0378720626000030,"Volume 63, Issue 3",April 2026
The flight of women from the information technology profession: nuances and global perspectives,https://www.sciencedirect.com/science/article/pii/S0378720625002022,"Volume 63, Issue 3",April 2026
Knowledge contribution on enterprise social media and employee well-being,https://www.sciencedirect.com/science/article/pii/S0378720626000029,"Volume 63, Issue 3",April 2026
The impact of generative artificial intelligence on software development performance: a study based on the theory of technology dominance,https://www.sciencedirect.com/science/article/pii/S0378720626000066,"Volume 63, Issue 3",April 2026
The impact of ambidexterity on bid-winning performance: Evidence from an online crowdsourcing platform,https://www.sciencedirect.com/science/article/pii/S0378720626000054,"Volume 63, Issue 3",April 2026
The role of dynamic managerial capabilities and underlying personality traits in digital transformations: Insights from European C-level executives,https://www.sciencedirect.com/science/article/pii/S0378720626000078,"Volume 63, Issue 3",April 2026
Enterprise led or hospital led: Types of online healthcare platforms and patient choice,https://www.sciencedirect.com/science/article/pii/S0378720626000042,"Volume 63, Issue 3",April 2026
AI automation and AI opacity: The effects on threat and response appraisal,https://www.sciencedirect.com/science/article/pii/S0378720626000145,"Volume 63, Issue 3",April 2026
Multimodal chain-of-thought reasoning with large language models to protect children from age-inappropriate apps,https://www.sciencedirect.com/science/article/pii/S0378720626000157,"Volume 63, Issue 3",April 2026
Why we cannot stop repetitive scrolling on short-form video apps: The roles of content types and recommendation systems,https://www.sciencedirect.com/science/article/pii/S0378720626000169,"Volume 63, Issue 3",April 2026
Helping gig workers deal with customer injustice: An empirical study on the effects of algorithmic governance strategies,https://www.sciencedirect.com/science/article/pii/S0378720626000182,"Volume 63, Issue 3",April 2026
Effects of a digital medium in multitask online referral reward programs: A general evaluability perspective,https://www.sciencedirect.com/science/article/pii/S0378720626000212,"Volume 63, Issue 3",April 2026
Dynamically agile operation of mobile apps: a hidden Markov model,https://www.sciencedirect.com/science/article/pii/S0378720626000200,"Volume 63, Issue 3",April 2026
Will I regret not buying? Unpacking the dual pathways of anticipated regret that influence online impulsive buying,https://www.sciencedirect.com/science/article/pii/S0378720626000236,"Volume 63, Issue 3",April 2026
Tell me what I want to hear: The effects of matching reviews on consumers’ decision making,https://www.sciencedirect.com/science/article/pii/S0378720626000248,"Volume 63, Issue 3",April 2026
Impact of AI-generated content restriction policy on user contribution: Evidence from an online knowledge-sharing platform,https://www.sciencedirect.com/science/article/pii/S0378720626000224,"Volume 63, Issue 3",April 2026
Editorial Board,https://www.sciencedirect.com/science/article/pii/S037872062600011X,"Volume 63, Issue 2",March 2026
Artificial intelligence at work: A phenomenon-based interdisciplinary review and groundwork for multilevel scholarship,https://www.sciencedirect.com/science/article/pii/S0378720625001752,"Volume 63, Issue 2",March 2026
Asymmetric cross-side network effects on online knowledge-sharing platforms and the role of platform recommendations,https://www.sciencedirect.com/science/article/pii/S0378720625001776,"Volume 63, Issue 2",March 2026
Relating digital platform synergy and SME agility: The roles of organizational inertia and modularity,https://www.sciencedirect.com/science/article/pii/S037872062500182X,"Volume 63, Issue 2",March 2026
Social commerce model for business outcomes: Validated structure–conduct–outcome framework using mixed methods design,https://www.sciencedirect.com/science/article/pii/S0378720625001831,"Volume 63, Issue 2",March 2026
How does the number of attribute ratings affect a product’s overall rating? Evidence from Tripadvisor,https://www.sciencedirect.com/science/article/pii/S0378720625001788,"Volume 63, Issue 2",March 2026
Concertscapes: An investigation of the mediating and moderating mechanism driving attendance intention through the metaverse platform,https://www.sciencedirect.com/science/article/pii/S0378720625001818,"Volume 63, Issue 2",March 2026
The marketing effects of live streaming in online marketplaces,https://www.sciencedirect.com/science/article/pii/S0378720625001910,"Volume 63, Issue 2",March 2026
Pay to view or pay to ask? The effect of shared questions-and-answers on paid question-and-answer demand,https://www.sciencedirect.com/science/article/pii/S037872062500179X,"Volume 63, Issue 2",March 2026
Privacy over health? Understanding discontinuous disclosure in mobile health applications,https://www.sciencedirect.com/science/article/pii/S0378720625001806,"Volume 63, Issue 2",March 2026
Customer redemption analytics in multi-vendor loyalty programs: a design science research approach,https://www.sciencedirect.com/science/article/pii/S0378720625001922,"Volume 63, Issue 2",March 2026
Elevating the performance of software development teams by leveraging emotional intelligence through improved knowledge sharing,https://www.sciencedirect.com/science/article/pii/S0378720625001934,"Volume 63, Issue 2",March 2026
Round versus square: Exploring the influence of facial shape in robo-advisors on consumer acceptance of investment advice,https://www.sciencedirect.com/science/article/pii/S0378720625001946,"Volume 63, Issue 2",March 2026
Next output is better? Overgeneration effect in generative artificial intelligence interaction,https://www.sciencedirect.com/science/article/pii/S0378720625001971,"Volume 63, Issue 2",March 2026
Towards developing fake and satire news detection policies using component-based SEM and interpersonal detection theory,https://www.sciencedirect.com/science/article/pii/S037872062500196X,"Volume 63, Issue 2",March 2026
A reliability-enhanced deep ensemble learning framework for recommendation,https://www.sciencedirect.com/science/article/pii/S0378720625001995,"Volume 63, Issue 2",March 2026
Effects of information technology platforms and governance on relational value creation in digital supply chains,https://www.sciencedirect.com/science/article/pii/S0378720625001958,"Volume 63, Issue 2",March 2026
Can digitalization drive corporate transparency? Exploring the impact of digital transformation on information disclosure quality,https://www.sciencedirect.com/science/article/pii/S0378720625002009,"Volume 63, Issue 2",March 2026
Investigating the impacts of fundraisers’ self-donations on donors’ contribution in charitable crowdfunding: A warm glow perspective,https://www.sciencedirect.com/science/article/pii/S0378720625002034,"Volume 63, Issue 2",March 2026
