URL,Journal_Title,Standardized_Title,month_year,Abstract,Keywords,Author_Name,Standardized_Author,Author_University,Standardized_University,Author_State,Author_Country
https://www.sciencedirect.com/science/article/pii/S0306437926000049,Information Systems,Efficient data structures for fast and low-cost first-order logic rule mining,,,"['Rule mining', 'Logic rule', 'Data structure', 'Data efficiency']",Ruoyu Wang,Ruoyu Wang,University of New South Wales,University of New South Wales,,Australia
https://www.sciencedirect.com/science/article/pii/S0306437926000049,Information Systems,Efficient data structures for fast and low-cost first-order logic rule mining,,,"['Rule mining', 'Logic rule', 'Data structure', 'Data efficiency']",Raymond Wong,Raymond Wong,University of New South Wales,University of New South Wales,,Australia
https://www.sciencedirect.com/science/article/pii/S0306437926000049,Information Systems,Efficient data structures for fast and low-cost first-order logic rule mining,,,"['Rule mining', 'Logic rule', 'Data structure', 'Data efficiency']",Daniel Sun,Daniel Sun,Newcastle University,Newcastle University,,United Kingdom
https://www.sciencedirect.com/science/article/pii/S0306437926000098,Information Systems,Measuring the decentralisation of DeFi development: An empirical analysis of contributor distribution in Lido☆,,,"['DeFi', 'Contributor structure', 'Decentralisation']",Giuseppe Destefanis,Giuseppe Destefanis,University College London,University College London,,United Kingdom
https://www.sciencedirect.com/science/article/pii/S0306437926000098,Information Systems,Measuring the decentralisation of DeFi development: An empirical analysis of contributor distribution in Lido☆,,,"['DeFi', 'Contributor structure', 'Decentralisation']",Jiahua Xu,Jiahua Xu,University College London,University College London,,United Kingdom
https://www.sciencedirect.com/science/article/pii/S0306437926000098,Information Systems,Measuring the decentralisation of DeFi development: An empirical analysis of contributor distribution in Lido☆,,,"['DeFi', 'Contributor structure', 'Decentralisation']",Silvia Bartolucci,Silvia Bartolucci,University College London,University College London,,United Kingdom
https://www.sciencedirect.com/science/article/pii/S0306437925001371,Information Systems,IPDRM: A pyramid-based diffusion and contrastive learning framework for sequential recommendation,,,[],Ruijia Guo,Ruijia Guo,Harbin Engineering University,Harbin Engineering University,,China
https://www.sciencedirect.com/science/article/pii/S0306437925001371,Information Systems,IPDRM: A pyramid-based diffusion and contrastive learning framework for sequential recommendation,,,[],Zhiyuan Chen,Zhiyuan Chen,Harbin Engineering University,Harbin Engineering University,,China
https://www.sciencedirect.com/science/article/pii/S0306437925001486,Information Systems,"Reflection on the convergence and interplay of edge, fog, and cloud in the AI-driven Internet of Things (IoT)☆",,,[],Farshad Firouzi,Farshad Firouzi,Arizona State University,Arizona State University,,United States
https://www.sciencedirect.com/science/article/pii/S0306437925001486,Information Systems,"Reflection on the convergence and interplay of edge, fog, and cloud in the AI-driven Internet of Things (IoT)☆",,,[],Bahar Farahani,Bahar Farahani,Shahid Beheshti University,Shahid Beheshti University,,Iran
https://www.sciencedirect.com/science/article/pii/S0306437925001486,Information Systems,"Reflection on the convergence and interplay of edge, fog, and cloud in the AI-driven Internet of Things (IoT)☆",,,[],Alexander Marinšek,Alexander Marinšek,,,,Belgium
https://www.sciencedirect.com/science/article/pii/S030643792500136X,Information Systems,"Reflection on compliance monitoring in business processes: Functionalities, application, and tool-support☆",,,"['Reflections', 'Compliance monitoring', 'Framework', 'Research collaboration']",Linh Thao Ly,Linh Thao Ly,Berlin School of Economics and Law,Berlin School of Economics and Law,,Germany
https://www.sciencedirect.com/science/article/pii/S030643792500136X,Information Systems,"Reflection on compliance monitoring in business processes: Functionalities, application, and tool-support☆",,,"['Reflections', 'Compliance monitoring', 'Framework', 'Research collaboration']",Fabrizio Maria Maggi,Fabrizio Maria Maggi,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,,Italy
https://www.sciencedirect.com/science/article/pii/S030643792500136X,Information Systems,"Reflection on compliance monitoring in business processes: Functionalities, application, and tool-support☆",,,"['Reflections', 'Compliance monitoring', 'Framework', 'Research collaboration']",Marco Montali,Marco Montali,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,,Italy
https://www.sciencedirect.com/science/article/pii/S030643792500136X,Information Systems,"Reflection on compliance monitoring in business processes: Functionalities, application, and tool-support☆",,,"['Reflections', 'Compliance monitoring', 'Framework', 'Research collaboration']",Stefanie Rinderle-Ma,Stefanie Rinderle-Ma,Technical University of Munich,Technical University of Munich,,Germany
https://www.sciencedirect.com/science/article/pii/S030643792500136X,Information Systems,"Reflection on compliance monitoring in business processes: Functionalities, application, and tool-support☆",,,"['Reflections', 'Compliance monitoring', 'Framework', 'Research collaboration']",Wil M.P. van der Aalst,Wil M.P. Van Der Aalst,,,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001498,Information Systems,Efficient allocation of shared resources across multiple processes,,,"['Multi-process environment', 'Resource allocation', 'Business process optimization', 'Reinforcement learning']",Kiran Busch,Kiran Busch,Kühne Logistics University,Kühne Logistics University,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001498,Information Systems,Efficient allocation of shared resources across multiple processes,,,"['Multi-process environment', 'Resource allocation', 'Business process optimization', 'Reinforcement learning']",Henrik Leopold,Henrik Leopold,Kühne Logistics University,Kühne Logistics University,,Germany
https://www.sciencedirect.com/science/article/pii/S0306437925001528,Information Systems,ACTER: Activity Customization through Timely and Explainable Recommendations,,,"['Explainable recommendations', 'Contextual rules', 'Context inference']",Anna Dalla Vecchia,Anna Dalla Vecchia,University of Verona,University of Verona,,Italy
