Title,URL,Volume Issue,Vol Issue Year
Information Systems Innovation for Environmental Sustainability1,https://misq.umn.edu/misq/article/34/1/1/488/Information-Systems-Innovation-for-Environmental,"Vol 34, Issue 1",2010
Information Systems and Environmentally Sustainable Development: Energy Informatics and New Directions for the IS Community1,https://misq.umn.edu/misq/article/34/1/23/490/Information-Systems-and-Environmentally,"Vol 34, Issue 1",2010
An Empirical Analysis of the Impact of Information Capabilities Design on Business Process Outsourcing Performance1,https://misq.umn.edu/misq/article/34/1/39/482/An-Empirical-Analysis-of-the-Impact-of-Information,"Vol 34, Issue 1",2010
Chasing the Hottest IT: Effects of Information Technology Fashion on Organizations1,https://misq.umn.edu/misq/article/34/1/63/484/Chasing-the-Hottest-IT-Effects-of-Information,"Vol 34, Issue 1",2010
Toward Agile: An Integrated Analysis of Quantitative and Qualitative Field Data on Software Development Agility1,https://misq.umn.edu/misq/article/34/1/87/494/Toward-Agile-An-Integrated-Analysis-of,"Vol 34, Issue 1",2010
Vital Signs for Virtual Teams: An Empirically Developed Trigger Model for Technology Adaptation Interventions1,https://misq.umn.edu/misq/article/34/1/115/485/Vital-Signs-for-Virtual-Teams-An-Empirically,"Vol 34, Issue 1",2010
Job Characteristics and Job Satisfaction: Understanding the Role of Enterprise Resource Planning System Implementation1,https://misq.umn.edu/misq/article/34/1/143/496/Job-Characteristics-and-Job-Satisfaction,"Vol 34, Issue 1",2010
The Formation and Value of IT-Enabled Resources: Antecedents and Consequences of Synergistic Relationships1,https://misq.umn.edu/misq/article/34/1/163/492/The-Formation-and-Value-of-IT-Enabled-Resources,"Vol 34, Issue 1",2010
What Makes a Helpful Online Review? A Study of Customer Reviews on,https://misq.umn.edu/misq/article/34/1/185/499/What-Makes-a-Helpful-Online-Review-A-Study-of,"Vol 34, Issue 1",2010
Editor’s Comments: Journal Quality and Citations: Common Metrics and Considerations about Their Use,https://misq.umn.edu/misq/article/34/1/iii/480/Editor-s-CommentsJournal-Quality-and-Citations,"Vol 34, Issue 1",2010
Trustworthiness in Computational Theory Construction: Dimensionalization and Category Surfacing1,https://misq.umn.edu/misq/article/doi/10.25300/MISQ/2026/18511/3786/Trustworthiness-in-Computational-Theory,"Vol 34, Issue 1",2010
When Bots Evaluate Humans: Delegation to Bots and the Reshaping of Authority,https://misq.umn.edu/misq/article/doi/10.25300/MISQ/2026/18708/3771/When-Bots-Evaluate-Humans-Delegation-to-Bots-and,"Vol 34, Issue 1",2010
FAIR: A Design Theory for Artificial Intelligence Fairness,https://misq.umn.edu/misq/article/doi/10.25300/MISQ/2026/17971/3766/FAIR-A-Design-Theory-for-Artificial-Intelligence,"Vol 34, Issue 1",2010
Symptoms and Their Temporal Distributions: An Interpretable AI Approach for Depression Detection in Social Media,https://misq.umn.edu/misq/article/doi/10.25300/MISQ/2025/18897/3770/Symptoms-and-Their-Temporal-Distributions-An,"Vol 34, Issue 1",2010
