Title,URL,Volume Issue,Vol Issue Year
Efficient data structures for fast and low-cost first-order logic rule mining,https://www.sciencedirect.com/science/article/pii/S0306437926000049,Volume 139,July 2026
Measuring the decentralisation of DeFi development: An empirical analysis of contributor distribution in Lido,https://www.sciencedirect.com/science/article/pii/S0306437926000098,Volume 139,July 2026
IPDRM: A pyramid-based diffusion and contrastive learning framework for sequential recommendation,https://www.sciencedirect.com/science/article/pii/S0306437925001371,Volume 138,June 2026
"Reflection on the convergence and interplay of edge, fog, and cloud in the AI-driven Internet of Things (IoT)",https://www.sciencedirect.com/science/article/pii/S0306437925001486,Volume 138,June 2026
"Reflection on compliance monitoring in business processes: Functionalities, application, and tool-support",https://www.sciencedirect.com/science/article/pii/S030643792500136X,Volume 138,June 2026
Efficient allocation of shared resources across multiple processes,https://www.sciencedirect.com/science/article/pii/S0306437925001498,Volume 138,June 2026
ACTER: Activity Customization through Timely and Explainable Recommendations,https://www.sciencedirect.com/science/article/pii/S0306437925001528,Volume 138,June 2026
From precision to perception: Human-in-the-loop evaluation of keyword extraction for internet-scale contextual advertising,https://www.sciencedirect.com/science/article/pii/S0306437925001516,Volume 138,June 2026
Visualizing repetition in process execution variants from partially ordered event data,https://www.sciencedirect.com/science/article/pii/S0306437925001504,Volume 138,June 2026
HILTS: Human-LLM collaboration for effective data labeling,https://www.sciencedirect.com/science/article/pii/S0306437925001462,Volume 138,June 2026
VCR: Interpretable and interactive debugging of object detection models with visual concepts,https://www.sciencedirect.com/science/article/pii/S0306437925001383,Volume 138,June 2026
Improving the understandability of declarative process discovery results using easyDeclare,https://www.sciencedirect.com/science/article/pii/S030643792500153X,Volume 138,June 2026
Graph-based similarity measures for the structural comparison of process traces,https://www.sciencedirect.com/science/article/pii/S0306437925001577,Volume 138,June 2026
Applying organizational mining to discover agent systems from event data,https://www.sciencedirect.com/science/article/pii/S0306437925001553,Volume 138,June 2026
A visualization-driven decision support system for selecting feature attribution methods,https://www.sciencedirect.com/science/article/pii/S0306437925001474,Volume 138,June 2026
DynaHash: An efficient blocking structure for streaming record linkage,https://www.sciencedirect.com/science/article/pii/S0306437926000062,Volume 138,June 2026
A Generalized CALM Theorem for Non-Deterministic Computation in Asynchronous Distributed Systems,https://www.sciencedirect.com/science/article/pii/S0306437926000050,Volume 138,June 2026
Example-driven semantic-similarity-aware query intent discovery: Empowering users to cross the SQL barrier through query by example,https://www.sciencedirect.com/science/article/pii/S0306437926000013,Volume 138,June 2026
A Bayesian framework for robust local intrinsic dimensionality estimation,https://www.sciencedirect.com/science/article/pii/S0306437925001541,Volume 138,June 2026
MDU-Net: Multi-resolution learning and differential clustering fusion for multivariate electricity time series forecasting,https://www.sciencedirect.com/science/article/pii/S0306437926000074,Volume 138,June 2026
Automated decision-making for dynamic task assignment at scale,https://www.sciencedirect.com/science/article/pii/S0306437926000086,Volume 138,June 2026
HLR-SQL: Human-like reasoning for Text-to-SQL with the human in the loop,https://www.sciencedirect.com/science/article/pii/S0306437925001565,Volume 138,June 2026
Exploring cultural commonsense in multilingual large language models: A survey,https://www.sciencedirect.com/science/article/pii/S0306437925001358,Volume 138,June 2026
A decade of systems for human data interaction,https://www.sciencedirect.com/science/article/pii/S0306437926000037,Volume 138,June 2026
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437925001619,Volume 137,April 2026
"The many facets of fairness in recommender systems: Consumers, providers and items",https://www.sciencedirect.com/science/article/pii/S0306437925001292,Volume 137,April 2026
New compressed indices for multijoins on graph databases,https://www.sciencedirect.com/science/article/pii/S0306437925001334,Volume 137,April 2026
Implementing a declarative query language for high level machine learning application design,https://www.sciencedirect.com/science/article/pii/S0306437925001231,Volume 137,April 2026
Design patterns for GDPR-aware process modeling in BPMN,https://www.sciencedirect.com/science/article/pii/S0306437925001322,Volume 137,April 2026
KAVA-PM: Knowledge-assisted visual process mining,https://www.sciencedirect.com/science/article/pii/S0306437925001243,Volume 137,April 2026
Local intrinsic dimensionality and the estimation of convergence order,https://www.sciencedirect.com/science/article/pii/S0306437925001346,Volume 137,April 2026
"Nine years later: Reflecting on our article: A general process mining framework for correlating, predicting, and clustering dynamic behavior based on event logs",https://www.sciencedirect.com/science/article/pii/S0306437925001309,Volume 137,April 2026
Paper title: Event log imperfection patterns for process mining: Towards a systematic approach to cleaning event logs,https://www.sciencedirect.com/science/article/pii/S0306437925001310,Volume 137,April 2026
SOLID-M: An ontology-aware quality framework for conceptual models discovered from event data,https://www.sciencedirect.com/science/article/pii/S0306437925001279,Volume 137,April 2026
Enhancing next activity prediction in process mining with Retrieval-Augmented Generation,https://www.sciencedirect.com/science/article/pii/S0306437925001280,Volume 137,April 2026
Reproducible experiments on visual exploration framework of geospatial vector big data,https://www.sciencedirect.com/science/article/pii/S0306437925001267,Volume 137,April 2026
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437925001425,Volume 136,February 2026
Behavioral similarity in business process models: A perspective that needs more attention,https://www.sciencedirect.com/science/article/pii/S0306437925000924,Volume 136,February 2026
"GPT-5 and open-weight large language models: Advances in reasoning, transparency, and control",https://www.sciencedirect.com/science/article/pii/S0306437925001061,Volume 136,February 2026
Modern alternatives to hive: A systematic review and single-node benchmark of SQL-on-Hadoop and lakehouse engines,https://www.sciencedirect.com/science/article/pii/S0306437925001218,Volume 136,February 2026
DaMoOp: A global approach for optimizing denormalized schemas through a multidimensional cost model,https://www.sciencedirect.com/science/article/pii/S0306437925000821,Volume 136,February 2026
Dynamic group recommender methodology: Leveraging temporal trust and confidence graphs,https://www.sciencedirect.com/science/article/pii/S0306437925000961,Volume 136,February 2026
Robust Graph Contrastive Learning for recommender systems: Addressing data sparsity and noise,https://www.sciencedirect.com/science/article/pii/S0306437925001115,Volume 136,February 2026
"Validating temporal compliance patterns: A unified approach with
over various data models",https://www.sciencedirect.com/science/article/pii/S0306437925001097,Volume 136,February 2026
Predicting multidimensional cubes through intentional analytics,https://www.sciencedirect.com/science/article/pii/S0306437925001140,Volume 136,February 2026
Estimating the compressibility of raster data,https://www.sciencedirect.com/science/article/pii/S0306437925001103,Volume 136,February 2026
Synthesizing goal models from declarative data-centric process models,https://www.sciencedirect.com/science/article/pii/S0306437925001127,Volume 136,February 2026
In system alignments we trust! Explainable alignments via projections,https://www.sciencedirect.com/science/article/pii/S0306437925001176,Volume 136,February 2026
SaaMS: The synopses-as-a-microservice paradigm for scalable adaptive streaming analytics across the cloud to edge continuum,https://www.sciencedirect.com/science/article/pii/S0306437925001152,Volume 136,February 2026
Evaluating the lifecycle economics of AI: The levelized cost of artificial intelligence (LCOAI),https://www.sciencedirect.com/science/article/pii/S0306437925001206,Volume 136,February 2026
The effects of database normalization on decision support system performance,https://www.sciencedirect.com/science/article/pii/S030643792500122X,Volume 136,February 2026
Unsupervised and semi-supervised clustering via density and distance-based label propagation and assignment,https://www.sciencedirect.com/science/article/pii/S0306437925001255,Volume 136,February 2026
"Special issue on verification, control, and repair in business process management",https://www.sciencedirect.com/science/article/pii/S030643792500105X,Volume 136,February 2026
Process-driven visual analysis of cybersecurity capture the flag exercises,https://www.sciencedirect.com/science/article/pii/S0306437925001139,Volume 136,February 2026
A task taxonomy for conformance checking,https://www.sciencedirect.com/science/article/pii/S0306437925000894,Volume 136,February 2026
Compressed consecutive pattern matching,https://www.sciencedirect.com/science/article/pii/S0306437925000912,Volume 136,February 2026
Extended parameterized Burrows–Wheeler transform,https://www.sciencedirect.com/science/article/pii/S030643792500095X,Volume 136,February 2026
Reflection on community-diversified influence maximization in social networks,https://www.sciencedirect.com/science/article/pii/S0306437925001164,Volume 136,February 2026
Graph functional dependencies: Analysis and translation to PG-schema,https://www.sciencedirect.com/science/article/pii/S030643792500119X,Volume 136,February 2026
BBQ-Tree: A unified classifier and regressor combining Boolean and quantum logic decisions,https://www.sciencedirect.com/science/article/pii/S0306437925001188,Volume 136,February 2026
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437925001000,Volume 135,January 2026
Adaptive Personalized Recommendation Systems: A systematic Review,https://www.sciencedirect.com/science/article/pii/S030643792500078X,Volume 135,January 2026
Multi-source data outlier detection based on secure multi-party computation,https://www.sciencedirect.com/science/article/pii/S030643792500081X,Volume 135,January 2026
CrossER: A robust and adaptable generalized entity resolution framework for diverse and heterogeneous datasets,https://www.sciencedirect.com/science/article/pii/S0306437925000936,Volume 135,January 2026
GlintLM: Graph-Layered Integration with Nodal Topology with Language Models — A Bipartite Approach to Question Answering,https://www.sciencedirect.com/science/article/pii/S0306437925000948,Volume 135,January 2026
Comprehensive characterization of concept drifts in process mining,https://www.sciencedirect.com/science/article/pii/S0306437925000687,Volume 135,January 2026
Low-code solutions for business process dataflows: From modeling to execution,https://www.sciencedirect.com/science/article/pii/S0306437925000614,Volume 135,January 2026
From analysis to findings: How do process mining analysts discover results?,https://www.sciencedirect.com/science/article/pii/S0306437925000808,Volume 135,January 2026
Trajectory data management: A data model and predicate logic with operators for spatio-temporal query processing,https://www.sciencedirect.com/science/article/pii/S0306437925000791,Volume 135,January 2026
Density based learned spatial index for clustered data,https://www.sciencedirect.com/science/article/pii/S0306437925000900,Volume 135,January 2026
"Temporal relational algebras supporting preferences in temporal relational databases: Definition, properties and evaluation",https://www.sciencedirect.com/science/article/pii/S0306437925000675,Volume 135,January 2026
On the evaluation and optimization of LabeledPAM,https://www.sciencedirect.com/science/article/pii/S030643792500064X,Volume 135,January 2026
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437925000869,Volume 134,October–November 2025
PARK: Personalized academic retrieval with knowledge-graphs,https://www.sciencedirect.com/science/article/pii/S0306437925000584,Volume 134,October–November 2025
Root-cause analysis of business processes: How humans utilize multiple sources of information to explain observations,https://www.sciencedirect.com/science/article/pii/S0306437925000626,Volume 134,October–November 2025
Refining the process picture: Unstructured data in object-centric process mining,https://www.sciencedirect.com/science/article/pii/S0306437925000663,Volume 134,October–November 2025
Pose estimation analysis and fine-tuning on the REHAB24-6 rehabilitation dataset,https://www.sciencedirect.com/science/article/pii/S0306437925000638,Volume 134,October–November 2025
A comprehensive approach to improving CLIP-based image retrieval while maintaining joint-embedding alignment,https://www.sciencedirect.com/science/article/pii/S0306437925000651,Volume 134,October–November 2025
An interactive approach for group-based event log exploration,https://www.sciencedirect.com/science/article/pii/S0306437925000596,Volume 134,October–November 2025
Data-driven prescriptive analytics applications: A comprehensive survey,https://www.sciencedirect.com/science/article/pii/S0306437925000602,Volume 134,October–November 2025
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437925000729,Volume 133,August–September 2025
A high-accuracy unsupervised statistical learning method for joint dangling entity detection and entity alignment,https://www.sciencedirect.com/science/article/pii/S0306437925000390,Volume 133,August–September 2025
Incremental checking of SQL assertions in an RDBMS,https://www.sciencedirect.com/science/article/pii/S0306437925000353,Volume 133,August–September 2025
Support estimation in frequent itemsets mining on Enriched Two Level Tree,https://www.sciencedirect.com/science/article/pii/S0306437925000432,Volume 133,August–September 2025
Privacy-preserving record linkage using reference set based encoding: A single parameter method,https://www.sciencedirect.com/science/article/pii/S0306437925000535,Volume 133,August–September 2025
SMUTF: Schema Matching Using Generative Tags and Hybrid Features,https://www.sciencedirect.com/science/article/pii/S0306437925000547,Volume 133,August–September 2025
ADAPT: Fairness & diversity for sequential group recommendations,https://www.sciencedirect.com/science/article/pii/S0306437925000560,Volume 133,August–September 2025
Learning to resolve inconsistencies in qualitative constraint networks,https://www.sciencedirect.com/science/article/pii/S0306437925000419,Volume 133,August–September 2025
Service composition for ltl f task specifications,https://www.sciencedirect.com/science/article/pii/S0306437925000559,Volume 133,August–September 2025
Achieving framed autonomy in AI-augmented business process management systems through automated planning,https://www.sciencedirect.com/science/article/pii/S0306437925000572,Volume 133,August–September 2025
Stochastic conformance checking based on variable-length Markov chains,https://www.sciencedirect.com/science/article/pii/S0306437925000456,Volume 133,August–September 2025
Back to the Order: Partial orders in streaming conformance checking,https://www.sciencedirect.com/science/article/pii/S030643792500050X,Volume 133,August–September 2025
Class Representatives Selection in non-metric spaces for nearest prototype classification,https://www.sciencedirect.com/science/article/pii/S0306437925000481,Volume 133,August–September 2025
Training-free sparse representations of dense vectors for scalable information retrieval,https://www.sciencedirect.com/science/article/pii/S0306437925000511,Volume 133,August–September 2025
An Alternating Optimization Scheme for Binary Sketches,https://www.sciencedirect.com/science/article/pii/S030643792500047X,Volume 133,August–September 2025
"Finding HSP neighbors via an exact, hierarchical approach",https://www.sciencedirect.com/science/article/pii/S0306437925000493,Volume 133,August–September 2025
