URL,Journal_Title,Standardized_Title,month_year,Abstract,Keywords,Author_Name,Standardized_Author,Author_University,Standardized_University,Author_State,Author_Country
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
,MIS Quarterly,digital resilience for the climate crisis a multiperspective analysis,2026,,,Wai Fong Boh,Wai Fong Boh,Nanyang Technological University,Nanyang Technological University,,Singapore
